"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090005600","안곡고등학교","04","공립","N","","12","303","25.3","12","329","27.4","12","293","24.4","1","6","6","1","3","3","38","934","24.6","73","12.8"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005601","와부고등학교","04","공립","N","","8","258","32.3","8","250","31.3","8","224","28","3","16","5.3","0","0","0","27","748","27.7","52","14.4"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090005653","고색고등학교","04","공립","N","","10","256","25.6","10","238","23.8","10","247","24.7","1","6","6","0","0","0","31","747","24.1","60","12.5"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005655","나루고등학교","04","공립","N","","8","278","34.8","8","289","36.1","8","243","30.4","0","0","0","0","0","0","24","810","33.8","48","16.9"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005656","보라고등학교","04","공립","N","","9","286","31.8","9","297","33","9","282","31.3","3","16","5.3","0","0","0","30","881","29.4","58","15.2"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005658","초당고등학교","04","공립","N","","11","335","30.5","11","347","31.5","10","283","28.3","0","0","0","0","0","0","32","965","30.2","61","15.8"
"경기도교육청","경기도성남교육지원청","경기도 성남시 수정구","S090005659","복정고등학교","04","공립","N","","8","184","23","8","190","23.8","8","172","21.5","0","0","0","0","0","0","24","546","22.8","46","11.9"
"경기도교육청","경기도용인교육지원청","경기도 용인시 처인구","S090005660","포곡고등학교","04","공립","N","","11","334","30.4","11","346","31.5","10","281","28.1","2","13","6.5","2","7","3.5","36","981","27.3","67","14.6"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005663","향남고등학교","04","공립","N","","9","292","32.4","8","274","34.3","8","257","32.1","2","13","6.5","0","0","0","27","836","31","52","16.1"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005664","청덕고등학교","04","공립","N","","11","310","28.2","11","350","31.8","10","289","28.9","2","11","5.5","0","0","0","34","960","28.2","65","14.8"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090005665","시흥능곡고등학교","04","공립","N","","10","314","31.4","10","302","30.2","10","258","25.8","2","11","5.5","0","0","0","32","885","27.7","64","13.8"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090005666","시흥매화고등학교","04","공립","N","","8","194","24.3","8","214","26.8","8","176","22","1","6","6","0","0","0","25","590","23.6","48","12.3"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090005667","발곡고등학교","04","공립","N","","10","252","25.2","10","271","27.1","10","241","24.1","2","15","7.5","0","0","0","32","779","24.3","61","12.8"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090005668","신천고등학교","04","공립","N","","10","292","29.2","10","281","28.1","10","249","24.9","2","14","7","0","0","0","32","836","26.1","61","13.7"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090005669","선부고등학교","04","공립","N","","11","257","23.4","11","250","22.7","11","221","20.1","3","22","7.3","0","0","0","36","750","20.8","67","11.2"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005670","오남고등학교","04","공립","N","","12","383","31.9","12","380","31.7","12","353","29.4","3","25","8.3","0","0","0","39","1141","29.3","75","15.2"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090005671","의왕고등학교","04","공립","N","","8","199","24.9","8","197","24.6","8","194","24.3","2","8","4","0","0","0","26","598","23","51","11.7"
"경기도교육청","경기도평택교육지원청","경기도 평택시","S090005672","이충고등학교","04","공립","N","","10","327","32.7","10","323","32.3","10","291","29.1","3","20","6.7","0","0","0","33","961","29.1","64","15"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090005673","장기고등학교","04","공립","N","","12","405","33.8","12","397","33.1","10","334","33.4","2","14","7","1","2","2","37","1152","31.1","70","16.5"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090005674","신길고등학교","04","공립","N","","11","268","24.4","11","265","24.1","11","237","21.5","1","9","9","0","0","0","34","779","22.9","65","12"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090005675","광남고등학교","04","공립","N","","10","330","33","10","342","34.2","10","292","29.2","2","11","5.5","0","0","0","32","975","30.5","66","14.8"
"경기도교육청","경기도안산교육지원청","경기도 안산시 상록구","S090005676","광덕고등학교","04","공립","N","","10","254","25.4","10","254","25.4","10","224","22.4","1","2","2","0","0","0","31","734","23.7","60","12.2"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005677","흥덕고등학교","04","공립","N","","10","311","31.1","9","284","31.6","9","227","25.2","1","3","3","0","0","0","29","825","28.4","55","15"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090005796","덕현고등학교","04","공립","N","","10","314","31.4","12","367","30.6","12","331","27.6","1","9","9","0","0","0","35","1021","29.2","69","14.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090005797","서정고등학교","04","공립","N","","11","260","23.6","11","244","22.2","10","226","22.6","2","9","4.5","0","0","0","34","739","21.7","64","11.5"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090005798","운산고등학교","04","공립","N","","10","278","27.8","10","276","27.6","10","243","24.3","2","15","7.5","0","0","0","32","812","25.4","62","13.1"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090005799","운정고등학교","04","공립","N","","12","405","33.8","14","440","31.4","12","385","32.1","0","0","0","0","0","0","38","1230","32.4","75","16.4"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005800","마석고등학교","04","공립","N","","11","367","33.4","11","353","32.1","11","312","28.4","3","21","7","1","1","1","37","1054","28.5","68","15.5"
"경기도교육청","경기도안산교육지원청","경기도 안산시 상록구","S090005801","상록고등학교","04","공립","N","","11","292","26.5","12","321","26.8","11","280","25.5","3","20","6.7","0","0","0","37","913","24.7","70","13"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005803","진접고등학교","04","공립","N","","12","390","32.5","12","387","32.3","12","342","28.5","3","24","8","0","0","0","39","1143","29.3","76","15"
"경기도교육청","경기도평택교육지원청","경기도 평택시","S090005804","청북고등학교","04","공립","N","","10","321","32.1","10","311","31.1","9","259","28.8","1","7","7","0","0","0","30","898","29.9","59","15.2"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005806","세마고등학교","04","공립","N","","10","336","33.6","10","332","33.2","10","284","28.4","1","8","8","0","0","0","31","960","31","60","16"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005808","능동고등학교","04","공립","N","","8","278","34.8","10","345","34.5","8","268","33.5","1","9","9","0","0","0","27","900","33.3","52","17.3"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090005811","마송고등학교","04","공립","N","","8","212","26.5","8","176","22","8","161","20.1","1","9","9","1","2","2","26","560","21.5","49","11.4"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090005815","모락고등학교","04","공립","N","","8","196","24.5","8","201","25.1","8","192","24","2","13","6.5","0","0","0","26","602","23.2","50","12"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090005820","경화여자English Business고등학교","04","사립","N","","5","113","22.6","5","94","18.8","5","100","20","0","0","0","0","0","0","15","307","20.5","33","9.3"
"경기도교육청","경기도안성교육지원청","경기도 안성시","S090005831","경기창조고등학교","04","공립","N","","10","337","33.7","10","335","33.5","10","295","29.5","3","24","8","1","2","2","34","993","29.2","65","15.3"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005836","보평고등학교","04","공립","N","","8","209","26.1","8","215","26.9","8","198","24.8","1","9","9","0","0","0","25","631","25.2","50","12.6"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005844","운중고등학교","04","공립","N","","8","214","26.8","8","224","28","8","220","27.5","1","8","8","0","0","0","25","666","26.6","48","13.9"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005898","가운고등학교","04","공립","N","","11","335","30.5","11","327","29.7","11","301","27.4","1","6","6","0","0","0","34","969","28.5","66","14.7"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090005899","동패고등학교","04","공립","N","","12","400","33.3","14","441","31.5","12","390","32.5","2","11","5.5","0","0","0","40","1242","31.1","77","16.1"
"경기도교육청","경기도부천교육지원청","경기도 부천시 원미구","S090005900","역곡고등학교","04","공립","N","","6","151","25.2","6","163","27.2","6","145","24.2","1","7","7","0","0","0","19","466","24.5","38","12.3"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005901","판교고등학교","04","공립","N","","8","204","25.5","8","204","25.5","8","171","21.4","1","3","3","0","0","0","25","582","23.3","48","12.1"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005902","세교고등학교","04","공립","N","","10","333","33.3","10","330","33","10","286","28.6","2","10","5","0","0","0","32","959","30","62","15.5"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005903","서천고등학교","04","공립","N","","9","280","31.1","9","291","32.3","9","264","29.3","1","5","5","0","0","0","28","840","30","54","15.6"
"경기도교육청","경기도용인교육지원청","경기도 용인시 수지구","S090005904","성복고등학교","04","공립","N","","12","395","32.9","12","374","31.2","12","327","27.3","1","8","8","0","0","0","37","1104","29.8","71","15.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090005905","대화고등학교","04","공립","N","","11","288","26.2","11","300","27.3","11","265","24.1","1","6","6","0","0","0","34","859","25.3","65","13.2"
"경기도교육청","경기도이천교육지원청","경기도 이천시","S090005906","이현고등학교","04","공립","N","","10","270","27","10","270","27","10","252","25.2","3","17","5.7","0","0","0","33","809","24.5","62","13"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090005908","초월고등학교","04","공립","N","","12","394","32.8","12","413","34.4","12","364","30.3","3","16","5.3","1","2","2","40","1189","29.7","75","15.9"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005909","향일고등학교","04","공립","N","","8","286","35.8","8","276","34.5","8","258","32.3","2","14","7","0","0","0","26","834","32.1","52","16"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005910","판곡고등학교","04","공립","N","","12","391","32.6","12","375","31.3","12","343","28.6","1","5","5","0","0","0","37","1114","30.1","71","15.7"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090005984","광교고등학교","04","공립","N","","10","271","27.1","10","280","28","10","261","26.1","1","7","7","0","0","0","31","819","26.4","61","13.4"
"경기도교육청","경기도수원교육지원청","경기도 수원시 팔달구","S090006514","율천고등학교","04","공립","N","","6","160","26.7","6","156","26","6","133","22.2","2","8","4","0","0","0","20","457","22.9","38","12"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090006518","덕이고등학교","04","공립","N","","11","284","25.8","11","291","26.5","11","258","23.5","0","0","0","0","0","0","33","833","25.2","65","12.8"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090006519","송양고등학교","04","공립","N","","12","331","27.6","12","359","29.9","11","290","26.4","1","7","7","0","0","0","36","987","27.4","72","13.7"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090006520","별내고등학교","04","공립","N","","11","330","30","11","306","27.8","10","282","28.2","1","8","8","0","0","0","33","926","28.1","68","13.6"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090006521","군포중앙고등학교","04","공립","N","","8","213","26.6","8","199","24.9","8","186","23.3","1","3","3","0","0","0","25","601","24","49","12.3"
